student_id	username	first_name	last_name	age	grade	birthday
2024139	stu2024139	Wyatt	Henderson	13	9	01/01/2012
2024140	stu2024140	Adam	Wonus	14	10	01/01/2011
2024141	stu2024141	Matthew	McCleese	15	11	01/01/2010
2024142	stu2024142	Cameron	Vogle	16	12	01/01/2009
2024143	stu2024143	Bodie	Hillwig	17	13	01/01/2008
2024144	stu2024144	Kevin	Pesheck	5	1	01/01/2020
2024145	stu2024145	Ian	Pesheck	6	2	01/01/2019
2024146	stu2024146	Christian	Pesheck	7	3	01/01/2018
2024147	stu2024147	Andy	Zywick	8	4	01/01/2017
2024148	stu2024148	John	Zywick	9	5	01/01/2016
2024149	stu2024149	David	Brown	10	6	01/01/2015
2024150	stu2024150	Andrew	Stefan	11	7	01/01/2014
2024151	stu2024151	Matthew	Stefan	12	8	01/01/2013
2024152	stu2024152	Christopher	Brown	13	9	01/01/2012
2024153	stu2024153	Ben	Olsen	14	10	01/01/2011
2024154	stu2024154	Bryce	Sedio	15	11	01/01/2010
2024155	stu2024155	Jared	Wills	16	12	01/01/2009
2024156	stu2024156	Nick	WIlls	17	13	01/01/2008
2024157	stu2024157	Casey	O\'Brian	5	1	01/01/2020
2024158	stu2024158	Shawn	O\'Brian	6	2	01/01/2019
2024159	stu2024159	Jason	Linden	7	3	01/01/2018
2024160	stu2024160	Perry	Cohen	8	4	01/01/2017
2024161	stu2024161	Austin	Stephanos	9	5	01/01/2016
2024162	stu2024162	Steven	Roque	10	6	01/01/2015
2024163	stu2024163	Nathan	Roque	11	7	01/01/2014
2024164	stu2024164	Geoffry	Martel	12	8	01/01/2013
2024165	stu2024165	Gregory	Martel	13	9	01/01/2012
2024166	stu2024166	Grant	Martel	14	10	01/01/2011
2024167	stu2024167	Eric	Clinton	15	11	01/01/2010
2024168	stu2024168	J\'mark	Boliver	16	12	01/01/2009
2024169	stu2024169	J\'Herne	Boliver	17	13	01/01/2008
2024170	stu2024170	Mark	Zurowski	5	1	01/01/2020
2024171	stu2024171	Matthew	Zurowski	6	2	01/01/2019
2024172	stu2024172	Michael	Zurowski	7	3	01/01/2018
2024173	stu2024173	Duncan	McCord	8	4	01/01/2017
2024174	stu2024174	Malcom	McCord	9	5	01/01/2016
2024175	stu2024175	Angus	McCord	10	6	01/01/2015
2024176	stu2024176	Clay	Parris	11	7	01/01/2014
2024177	stu2024177	Kendall	Virginia	12	8	01/01/2013
2024178	stu2024178	Mathias	Uribe	13	9	01/01/2012
INSERT INTO `users` (`id`	`username`	`first_name`	`last_name`	14	10	01/01/2011
2024179	stu2024179	Nicholas	Uribe	15	11	01/01/2010
2024180	stu2024180	Michael	Stolzenberg	16	12	01/01/2009
2024181	stu2024181	Harris	Stolzenberg	17	13	01/01/2008
2024182	stu2024182	Philip	Mashki	5	1	01/01/2020
2024183	stu2024183	Philip	Mahi	6	2	01/01/2019
2024184	stu2024184	Florian	France	7	3	01/01/2018
2024185	stu2024185	Julian	France	8	4	01/01/2017
2024186	stu2024186	Donny	harmison	9	5	01/01/2016
2024187	stu2024187	Donny	MPMS	10	6	01/01/2015
2024188	stu2024188	Chris	Keope	11	7	01/01/2014
2024189	stu2024189	Jake	Carner	12	8	01/01/2013
2024190	stu2024190	Jake	Jurowski	13	9	01/01/2012
2024191	stu2024191	Robbie	MPMS	14	10	01/01/2011
2024192	stu2024192	Phillip	Green	15	11	01/01/2010
2024193	stu2024193	Shawn	Green	16	12	01/01/2009
2024194	stu2024194	shawn	gray	17	13	01/01/2008
2024195	stu2024195	Brandon	Knight	5	1	01/01/2020
2024196	stu2024196	Phillip	Wilsie	6	2	01/01/2019
2024197	stu2024197	Caleb	Hollo	7	3	01/01/2018
2024198	stu2024198	Jared	Grey	8	4	01/01/2017
2024199	stu2024199	Redmond	Gerard	9	5	01/01/2016
2024200	stu2024200	Tom	Holland	10	6	01/01/2015
2024201	stu2024201	Lucas	Judy	11	7	01/01/2014
2024202	stu2024202	Lucas	Benentt	12	8	01/01/2013
2024203	stu2024203	Jared	Enting	13	9	01/01/2012
2024204	stu2024204	Jared	MPMS	14	10	01/01/2011
2024205	stu2024205	Frank	Panstingal	15	11	01/01/2010
2024206	stu2024206	Adrian	Wilson	16	12	01/01/2009
2024207	stu2024207	Cory	Saddler	17	13	01/01/2008
2024208	stu2024208	Nick	Markley	5	1	01/01/2020
2024209	stu2024209	Telo	Grove	6	2	01/01/2019
2024210	stu2024210	Danny	Bevan	7	3	01/01/2018
2024211	stu2024211	Josh	Green	8	4	01/01/2017
2024212	stu2024212	Garett	Stewart	9	5	01/01/2016
2024213	stu2024213	Mark	Bazemore	10	6	01/01/2015
2024214	stu2024214	John	McVicker	11	7	01/01/2014
2024215	stu2024215	Frank	DeCapio	12	8	01/01/2013
2024216	stu2024216	Mark	Sunde	13	9	01/01/2012
2024217	stu2024217	Jeremy	Morningstar	14	10	01/01/2011
2024218	stu2024218	Jordan	Zolman	15	11	01/01/2010
2024219	stu2024219	Mason	Cooley	16	12	01/01/2009
2024220	stu2024220	Connor	masonfriend	17	13	01/01/2008
2024221	stu2024221	Greg	Kinitis	5	1	01/01/2020
2024222	stu2024222	Adam	Johnson	6	2	01/01/2019
2024223	stu2024223	Justin	Bonheim	7	3	01/01/2018
2024224	stu2024224	Blake	Bonheim	8	4	01/01/2017
2024225	stu2024225	Andrew	Sherer	9	5	01/01/2016
2024226	stu2024226	Mark	Zuiderveen	10	6	01/01/2015
2024227	stu2024227	Jim	Ringer	11	7	01/01/2014
2024228	stu2024228	Jason	Mascari	12	8	01/01/2013
2024229	stu2024229	brent	Davis	13	9	01/01/2012
2024230	stu2024230	Danny	Kyper	14	10	01/01/2011
2024231	stu2024231	Danny	Webster	15	11	01/01/2010
2024232	stu2024232	clay	Febus	16	12	01/01/2009
2024233	stu2024233	Brian	clayfriend	17	13	01/01/2008
2024234	stu2024234	David	Farley	5	1	01/01/2020
2024235	stu2024235	Tyler	Andrew	6	2	01/01/2019
2024236	stu2024236	Brian	Vickers	7	3	01/01/2018
2024237	stu2024237	Anthony	PIasano	8	4	01/01/2017
2024238	stu2024238	Zach	Arnold	9	5	01/01/2016
2024239	stu2024239	Brandon	Kaskey	10	6	01/01/2015
2024240	stu2024240	Jimmy	Kaskey	11	7	01/01/2014
2024241	stu2024241	Jimmy	Guess	12	8	01/01/2013
2024242	stu2024242	Eric	Guillentine	13	9	01/01/2012
2024243	stu2024243	Joshua	Mullins	14	10	01/01/2011
2024244	stu2024244	Nathan	Cunningham	15	11	01/01/2010
2024245	stu2024245	Seth	Cunningham	16	12	01/01/2009
2024246	stu2024246	Benny	Cunningham	17	13	01/01/2008
2024247	stu2024247	Alexi	Ivanovich	5	1	01/01/2020
2024248	stu2024248	Ivan	Demitrovich	6	2	01/01/2019
2024249	stu2024249	Dale	Berskin	7	3	01/01/2018
2024250	stu2024250	Matt	Carper	8	4	01/01/2017
2024251	stu2024251	Jack	Carper	9	5	01/01/2016
2024252	stu2024252	Austin	Oh	10	6	01/01/2015
2024253	stu2024253	Ryan	Hornack	11	7	01/01/2014
2024254	stu2024254	Shawn	Baisden	12	8	01/01/2013
2024255	stu2024255	Jimmy	Meyers	13	9	01/01/2012
2024256	stu2024256	Jimmy	Murphy	14	10	01/01/2011
2024257	stu2024257	Brad	Brock	15	11	01/01/2010
2024258	stu2024258	Randy	Richner	16	12	01/01/2009
2024259	stu2024259	Andrew	Witzak	17	13	01/01/2008
2024260	stu2024260	Kyle	Bruffy	5	1	01/01/2020
2024261	stu2024261	Alex	dakota	6	2	01/01/2019
2024262	stu2024262	Danny	Dakota	7	3	01/01/2018
2024263	stu2024263	David	Calif	8	4	01/01/2017
2024264	stu2024264	Jeremy	playfirstbase	9	5	01/01/2016
2024265	stu2024265	David	Jamison	10	6	01/01/2015
2024266	stu2024266	Barry	Horvath	11	7	01/01/2014
2024267	stu2024267	Marc	Berry	12	8	01/01/2013
2024268	stu2024268	Marc	Calif	13	9	01/01/2012
2024269	stu2024269	Troy	Berry	14	10	01/01/2011
2024270	stu2024270	Kyle	Chippewa	15	11	01/01/2010
2024271	stu2024271	Matthew	Lacrosse	16	12	01/01/2009
2024272	stu2024272	Derwin	Loverink	17	13	01/01/2008
2024273	stu2024273	Peter	Loverink	5	1	01/01/2020
2024274	stu2024274	Aiden	Loverink	6	2	01/01/2019
2024275	stu2024275	Gordy	Sanders	7	3	01/01/2018
2024276	stu2024276	Nico	White	8	4	01/01/2017
2024277	stu2024277	Tommy	Brady	9	5	01/01/2016
2024278	stu2024278	Aaron	Green	10	6	01/01/2015
2024279	stu2024279	Mike	Long	11	7	01/01/2014
2024280	stu2024280	Mike	Cole	12	8	01/01/2013
2024281	stu2024281	Jordan	Grills	13	9	01/01/2012
2024282	stu2024282	Johnny	McDougal	14	10	01/01/2011
2024283	stu2024283	Steve	Brown	15	11	01/01/2010
2024284	stu2024284	Greg	Streme	16	12	01/01/2009
2024285	stu2024285	Abdul	Gassed	17	13	01/01/2008
2024286	stu2024286	Greg	Cornelius	5	1	01/01/2020
2024287	stu2024287	Bobby	Pembridge	6	2	01/01/2019
2024288	stu2024288	Tim	Miskimen	7	3	01/01/2018
2024289	stu2024289	Ryan	O\'Callaghan	8	4	01/01/2017
2024290	stu2024290	Eric	O\'Callaghan	9	5	01/01/2016
2024291	stu2024291	Codi	Schmidt-McPhee	10	6	01/01/2015
2024292	stu2024292	Ty	Sheridin	11	7	01/01/2014
2024293	stu2024293	Jacob seth	Loughland	12	8	01/01/2013
2024294	stu2024294	Seth	Clearwater	13	9	01/01/2012
2024295	stu2024295	Thomas	Brodi-Sanger	14	10	01/01/2011
2024296	stu2024296	Mickey	Matson	15	11	01/01/2010
2024297	stu2024297	Brett	Portage	16	12	01/01/2009
2024298	stu2024298	Brett	Nau	17	13	01/01/2008
2024299	stu2024299	David	Wright	5	1	01/01/2020
2024300	stu2024300	Frankie	Suthard	6	2	01/01/2019
2024301	stu2024301	Cody	Suthard	7	3	01/01/2018
2024302	stu2024302	Jase	Suthard	8	4	01/01/2017
2024303	stu2024303	Philip	Smith-bros	9	5	01/01/2016
2024304	stu2024304	Reshet	Moti	10	6	01/01/2015
2024305	stu2024305	CJ	Scout	11	7	01/01/2014
2024306	stu2024306	Caleb	Scout	12	8	01/01/2013
2024307	stu2024307	Chris	Scout	13	9	01/01/2012
2024308	stu2024308	Misha	Hotel	14	10	01/01/2011
2024309	stu2024309	Matty	Aussie	15	11	01/01/2010
2024310	stu2024310	Julian	Aussie	16	12	01/01/2009
2024311	stu2024311	Mikey	Argy	17	13	01/01/2008
2024312	stu2024312	Sandro	Argy	5	1	01/01/2020
2024313	stu2024313	Jeremy	Kocher	6	2	01/01/2019
2024314	stu2024314	Zach	Kocher	7	3	01/01/2018
2024315	stu2024315	Gregory	Petek	8	4	01/01/2017
2024316	stu2024316	Thomas	Petek	9	5	01/01/2016
2024317	stu2024317	Mark	Regowski	10	6	01/01/2015
2024318	stu2024318	Randall	Bolinger	11	7	01/01/2014
2024319	stu2024319	Eric	Larson	12	8	01/01/2013
2024320	stu2024320	Steven	Larson	13	9	01/01/2012
2024321	stu2024321	Carter	Bratton	14	10	01/01/2011
2024322	stu2024322	Rotem	Mathias	15	11	01/01/2010
2024323	stu2024323	Erick	Johnson	16	12	01/01/2009
2024324	stu2024324	Jacob	Wetterling	17	13	01/01/2008
2024325	stu2024325	Tom	Daley	5	1	01/01/2020
2024326	stu2024326	Tom	Danley	6	2	01/01/2019
2024327	stu2024327	Brig	Miller	7	3	01/01/2018
2024328	stu2024328	Dillon	Weisler	8	4	01/01/2017
2024329	stu2024329	Jaden	Henline	9	5	01/01/2016
2024330	stu2024330	Ryan	McManus	10	6	01/01/2015
2024331	stu2024331	Jacob	Miracle	11	7	01/01/2014
2024332	stu2024332	Aiden	Bryant	12	8	01/01/2013
2024333	stu2024333	Bo	Folger	13	9	01/01/2012
2024334	stu2024334	Tyler	Folger	14	10	01/01/2011
2024335	stu2024335	Lucas	Folger	15	11	01/01/2010
2024336	stu2024336	Cort	Oregon	16	12	01/01/2009
2024337	stu2024337	David	Whitewolf	17	13	01/01/2008
2024338	stu2024338	Ralph	Marachio	5	1	01/01/2020
2024339	stu2024339	Devon	Sawa	6	2	01/01/2019
2024340	stu2024340	Greg	Xenon	7	3	01/01/2018
2024341	stu2024341	Robert	Irwin	8	4	01/01/2017
2024342	stu2024342	Drilon	Sadiku	9	5	01/01/2016
2024343	stu2024343	Drin	Sadiku	10	6	01/01/2015
2024344	stu2024344	Lucas	Wallencheck	11	7	01/01/2014
2024345	stu2024345	Brian	Clouds	12	8	01/01/2013
2024346	stu2024346	Charlie	Bandan	13	9	01/01/2012
2024347	stu2024347	Tyler	VA	14	10	01/01/2011
2024348	stu2024348	Grayson	DC	15	11	01/01/2010
2024349	stu2024349	Tanner	VA	16	12	01/01/2009
2024350	stu2024350	Taylor	Starr	17	13	01/01/2008
2024351	stu2024351	Hunter	Starr	5	1	01/01/2020
2024352	stu2024352	Thomas	Tex	6	2	01/01/2019
2024353	stu2024353	Robert	Burroughs	7	3	01/01/2018
2024354	stu2024354	David	Anthony	8	4	01/01/2017
2024355	stu2024355	William	Blakeney	9	5	01/01/2016
2024356	stu2024356	Philip	Model	10	6	01/01/2015
2024357	stu2024357	Scott	Allen	12	8	01/01/2013
2024358	stu2024358	Scott	Drummond	13	9	01/01/2012
2024359	stu2024359	Ron	Drummond	14	10	01/01/2011
2024360	stu2024360	Brett	Klauss	15	11	01/01/2010
2024361	stu2024361	Jason	Klauss	16	12	01/01/2009
2024362	stu2024362	Zach	Garner	17	13	01/01/2008
2024363	stu2024363	Keegan	Garner	5	1	01/01/2020
2024364	stu2024364	Zach	Mesinko	6	2	01/01/2019
2024365	stu2024365	Adam	Mesinko	7	3	01/01/2018
2024366	stu2024366	Danny	Chambers	8	4	01/01/2017
2024367	stu2024367	Danny	Honeycutt	9	5	01/01/2016
2024368	stu2024368	Danny	Winton	10	6	01/01/2015
2024369	stu2024369	Lars	Eckburg	11	7	01/01/2014
2024370	stu2024370	Duke	Gains	12	8	01/01/2013
2024371	stu2024371	Jeff	Mohler	13	9	01/01/2012
2024372	stu2024372	Andrew	Mohler	14	10	01/01/2011
2024373	stu2024373	Nathan	Mohler	15	11	01/01/2010
2024374	stu2024374	Jacob	Mohler	16	12	01/01/2009
2024375	stu2024375	Martin	Mohler	17	13	01/01/2008
2024376	stu2024376	Randall	Mohler	5	1	01/01/2020
2024377	stu2024377	Jeremy	Reeder	6	2	01/01/2019
2024378	stu2024378	Ben	Hawley	7	3	01/01/2018
2024379	stu2024379	Joshua	Robb	8	4	01/01/2017
2024380	stu2024380	JJ	Robb	9	5	01/01/2016
2024381	stu2024381	Joey	Robb	10	6	01/01/2015
2024382	stu2024382	Ilia	Malinin	11	7	01/01/2014
2024383	stu2024383	Simon	Brown	12	8	01/01/2013
2024384	stu2024384	Tyler	Kobel	13	9	01/01/2012
2024385	stu2024385	Mario	Roulette	14	10	01/01/2011
2024386	stu2024386	Rick	Dancer	15	11	01/01/2010
2024387	stu2024387	Gabriel	Silva	16	12	01/01/2009
2024388	stu2024388	Joshua	Kontour	17	13	01/01/2008
2024389	stu2024389	Evan	Kontour	5	1	01/01/2020
2024390	stu2024390	Joshua	Dundr	6	2	01/01/2019
2024391	stu2024391	David	Merk	7	3	01/01/2018
2024392	stu2024392	Charles	Ridley	8	4	01/01/2017
2024393	stu2024393	Johnathan	Ridley	9	5	01/01/2016
2024394	stu2024394	Paul	Ridley	10	6	01/01/2015
2024395	stu2024395	Michael	Slayton	11	7	01/01/2014
2024396	stu2024396	Christian	Slayton	12	8	01/01/2013
2024397	stu2024397	Levi	McCoaughey	13	9	01/01/2012
2024398	stu2024398	Livingston	McConaughey	14	10	01/01/2011
2024399	stu2024399	William	Vance	15	11	01/01/2010
2024400	stu2024400	Andrew	Miller	16	12	01/01/2009
2024401	stu2024401	Bradley	Little	17	13	01/01/2008
2024402	stu2024402	Curtis	Post	5	1	01/01/2020
2024403	stu2024403	Scout	Beachovich	6	2	01/01/2019
2024404	stu2024404	Deven	Jackson	7	3	01/01/2018
2024405	stu2024405	Casey	Likes	8	4	01/01/2017
2024406	stu2024406	Eitan	Yahalomi	9	5	01/01/2016
2024407	stu2024407	Rizkallah	Saliba	10	6	01/01/2015
2024408	stu2024408	Austin	Saliba	11	7	01/01/2014
2024409	stu2024409	David	Saliba	12	8	01/01/2013
2024410	stu2024410	Neil	Rutter	13	9	01/01/2012
2024411	stu2024411	John	Skyview	14	10	01/01/2011
2024412	stu2024412	Timothy	Bair	15	11	01/01/2010
2024413	stu2024413	David	Bair	16	12	01/01/2009
2024414	stu2024414	Michael	Weber	17	13	01/01/2008
2024415	stu2024415	Dean	Howard	5	1	01/01/2020
2024416	stu2024416	Brandon	DelToro	6	2	01/01/2019
2024417	stu2024417	Aaron	Favri	7	3	01/01/2018
2024418	stu2024418	Carson	Glasier	8	4	01/01/2017
2024419	stu2024419	Connor	Glasier	9	5	01/01/2016
2024420	stu2024420	Marty	Sampson	10	6	01/01/2015
2024421	stu2024421	Mason	Sampson	11	7	01/01/2014
2024423	stu2024423	Hunter	Ebie	13	9	01/01/2012
20240429	stu20240429	Ethan	McCaw	14	10	01/01/2011
20240430	stu20240430	Brady	Procon	15	11	01/01/2010
20240431	stu20240431	Jack	Holm	16	12	01/01/2009
20240432	stu20240432	Benjamin	McCaw	17	13	01/01/2008
20240433	stu20240433	Gia	Frenchboy-Normandy	5	1	01/01/2020
20240438	stu20240438	Luke	Bowers	6	2	01/01/2019
20240439	stu20240439	Riley	Burr	7	3	01/01/2018
20240440	stu20240440	Aiden	Burr	8	4	01/01/2017
20240441	stu20240441	Isiah	Monville	9	5	01/01/2016
